Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
identity/0/AD,1.7609683755819945e-8,1.7384937348204084e-8,1.833342615417578e-8,1.1736993735771701e-9,4.3551705003390763e-10,2.3672999116354197e-9
identity/0/Dn,8.300646470379548e-7,8.24991678585488e-7,8.374874631896958e-7,2.0896764627814963e-8,1.4729473961888066e-8,3.160209009351201e-8
identity/0/STower,8.216336634464063e-7,8.115792518801128e-7,8.35970923071886e-7,4.213965049795313e-8,2.9620796072268436e-8,5.990855448480204e-8
identity/1/AD,2.1804553942198805e-8,2.169302926444403e-8,2.192609447742141e-8,3.6793572308097304e-10,3.0806975487324356e-10,5.006162544526905e-10
identity/1/Dn,2.6461857407604e-6,2.6344362578814537e-6,2.6576516573633507e-6,4.0841867477310586e-8,3.3444767760068426e-8,5.009270951499575e-8
identity/1/STower,1.735959443349193e-6,1.7293562043693822e-6,1.7429018961155187e-6,2.2944321287482456e-8,1.8317411605951432e-8,2.901040775508595e-8
identity/2/AD,2.209717100401822e-8,2.1932964604803567e-8,2.2502295028228945e-8,8.318342916486707e-10,4.0862718781264816e-10,1.5543628930020029e-9
identity/2/Dn,3.1816837543725214e-6,3.162822262308605e-6,3.247235423660621e-6,1.1005258054200158e-7,4.1164465658554355e-8,2.2042270141930345e-7
identity/2/STower,1.7626739517006806e-6,1.7545876616498883e-6,1.7749940129067139e-6,3.427438644228099e-8,2.460003160521437e-8,4.860373333235148e-8
identity/3/AD,2.1928039451594146e-8,2.1822255264810468e-8,2.222279877625745e-8,5.336712861461575e-10,2.0564402607101517e-10,1.022450250822678e-9
identity/3/Dn,3.987817422133637e-6,3.967275264395472e-6,4.00812296036647e-6,6.871238388348635e-8,5.440558510985033e-8,9.516654506855433e-8
identity/3/STower,1.7638847475002274e-6,1.749437592584553e-6,1.7975452891069134e-6,7.149428449283307e-8,3.293634700776418e-8,1.2442712133381309e-7
identity/4/AD,2.205268130246966e-8,2.187913825358998e-8,2.263777813373374e-8,1.085686232488396e-9,3.380944862878357e-10,2.035127712558186e-9
identity/4/Dn,4.898825963917746e-6,4.867446205577961e-6,4.98346375669733e-6,1.6379226587570377e-7,7.058638653008376e-8,3.1314477323665864e-7
identity/4/STower,1.761989137483669e-6,1.7549020677032672e-6,1.7702744385562512e-6,2.7108003807220544e-8,1.9717786045824783e-8,3.8404291508974085e-8
identity/5/AD,2.1759954126764472e-8,2.168809618892129e-8,2.1840549845620098e-8,2.5575786901483376e-10,1.993122318337524e-10,3.503421749934957e-10
identity/5/Dn,5.818473406560349e-6,5.787646143582653e-6,5.86911844278837e-6,1.3172110933259984e-7,9.257560804899296e-8,2.1650815756682273e-7
identity/5/STower,1.775028954505342e-6,1.7654340994549624e-6,1.7865489318265543e-6,3.5167144099049445e-8,2.760926137263433e-8,4.477363375809615e-8
identity/6/AD,2.1839188862175168e-8,2.1734411313249053e-8,2.1974537599822426e-8,3.967753003904964e-10,2.7952352666683404e-10,6.458662224972528e-10
identity/6/Dn,6.665064486418021e-6,6.630823572667779e-6,6.721527093375506e-6,1.3925846207091937e-7,9.14917927605061e-8,2.3099217010907965e-7
identity/6/STower,1.8029316142058202e-6,1.7927635729774407e-6,1.816807110736856e-6,3.97599705716075e-8,3.222686728407834e-8,5.09199794439628e-8
identity/7/AD,2.176343282231111e-8,2.1638438388697817e-8,2.202026622758445e-8,5.794288670160414e-10,3.6553341422088855e-10,8.943578600488063e-10
identity/7/Dn,7.85077898080283e-6,7.808585409176013e-6,7.897622302493504e-6,1.529003561913087e-7,1.1788450623938232e-7,1.9738009561833025e-7
identity/7/STower,1.815414250965398e-6,1.8009346377530624e-6,1.8326299514507329e-6,5.079217321925236e-8,4.077261301432972e-8,7.386026627338512e-8
identity/8/AD,2.1939734361025044e-8,2.1828861488115556e-8,2.221729612705077e-8,5.599048478100883e-10,2.5678031237933003e-10,1.1365637575544402e-9
identity/8/Dn,8.752073353650018e-6,8.726120220274322e-6,8.784643499197571e-6,9.772853097195909e-8,7.39336441865681e-8,1.3120186022047061e-7
identity/8/STower,1.766102188482907e-6,1.7566600001447425e-6,1.7811368876496163e-6,4.2586320710971005e-8,3.293364232002688e-8,6.234680492322316e-8
identity/9/AD,2.180466183142234e-8,2.1706228517842856e-8,2.2042808937425394e-8,4.802053297573145e-10,2.4743825692701216e-10,8.38516255752443e-10
identity/9/Dn,9.711691407091147e-6,9.675321487522999e-6,9.759408916631353e-6,1.4452558221389003e-7,9.367059662587952e-8,2.5064866224293016e-7
identity/9/STower,1.76675588907313e-6,1.7578509322235632e-6,1.7784088913910905e-6,3.593729595006989e-8,2.862146346009465e-8,5.485410518633659e-8
identity/10/AD,2.190207306494026e-8,2.172772909258266e-8,2.2064470999550394e-8,5.66642340877214e-10,4.6396856267440644e-10,7.407716362310382e-10
identity/10/Dn,1.1348600942400409e-5,1.1310156391793155e-5,1.1404055095342825e-5,1.6111483033735045e-7,1.2522280567816305e-7,2.0493685381328522e-7
identity/10/STower,1.8040008934649522e-6,1.7916683434175478e-6,1.818934565886343e-6,4.5437283106771255e-8,3.384792617906093e-8,6.491432531151272e-8
exp x/0/AD,3.3034810678723765e-8,3.2801642340744715e-8,3.3403155027562443e-8,9.523614270483226e-10,6.109930819520551e-10,1.5393877362708012e-9
exp x/0/Dn,8.889326495143073e-6,8.758477051471366e-6,9.16596816531514e-6,5.972264769165659e-7,3.2449938685980723e-7,1.126867797242852e-6
exp x/0/STower,9.453149380936141e-7,9.346192462864374e-7,9.64756942628893e-7,4.6076460379198297e-8,2.992671889932619e-8,6.363812595412988e-8
exp x/1/AD,1.5531276562545345e-7,1.5376799231789107e-7,1.5724021899908303e-7,5.633515387803818e-9,4.5389398722680545e-9,7.256109794308224e-9
exp x/1/Dn,3.061728609531173e-5,3.0363470109269923e-5,3.104914178963682e-5,1.129819637563007e-6,7.785175867598835e-7,1.6225407559480938e-6
exp x/1/STower,2.065758265279596e-6,2.0576901643543394e-6,2.078012736884393e-6,3.522817408378177e-8,2.3531605207771112e-8,5.097770698892001e-8
exp x/2/AD,2.95644029970942e-7,2.9473709766110356e-7,2.97146128099965e-7,3.658132335314316e-9,1.973342478988323e-9,5.14836243201018e-9
exp x/2/Dn,4.4446815248767976e-5,4.412026776809636e-5,4.499912677583729e-5,1.3304867242676092e-6,9.433713487463444e-7,1.7971444872906496e-6
exp x/2/STower,3.2297230463003898e-6,3.207612021490018e-6,3.282143225427171e-6,1.1112870188815404e-7,6.173351678106527e-8,2.0682795556964639e-7
exp x/3/AD,4.2201353809523485e-7,4.201457667298896e-7,4.26335993021251e-7,9.58744477925155e-9,4.798451896137498e-9,1.5696372060707046e-8
exp x/3/Dn,5.803747353444743e-5,5.783026402076608e-5,5.826056952394282e-5,7.398223551741051e-7,5.816840568764979e-7,9.997428918206273e-7
exp x/3/STower,4.448530286954643e-6,4.434151486001765e-6,4.4622394472620126e-6,4.9267471957563674e-8,4.1805247165270334e-8,6.786929419308207e-8
exp x/4/AD,5.687156180024889e-7,5.67032249614435e-7,5.703161375904533e-7,5.622706132835719e-9,4.718943818961836e-9,7.2703468349007895e-9
exp x/4/Dn,7.39796787987368e-5,7.362959593550692e-5,7.469152599597537e-5,1.65167719484416e-6,9.856200634307192e-7,2.9991870366485143e-6
exp x/4/STower,5.8252204576601865e-6,5.77241694209754e-6,5.9919929067142816e-6,2.9132770669541664e-7,1.638877344559865e-7,5.693121212825e-7
exp x/5/AD,6.897418184241921e-7,6.872145351366806e-7,6.964180974961521e-7,1.2347746924665665e-8,6.559723296285143e-9,2.3308562092720498e-8
exp x/5/Dn,8.924058893004573e-5,8.882522577404493e-5,8.985127133968709e-5,1.8472159765546336e-6,1.338599512641815e-6,2.6954857023062044e-6
exp x/5/STower,7.118382365873364e-6,7.088648395697393e-6,7.143821874039895e-6,9.441926433513719e-8,7.822106159938522e-8,1.223139922047192e-7
exp x/6/AD,8.0273143023776e-7,8.000056290656213e-7,8.055310397238019e-7,9.265050103227763e-9,7.625965178313876e-9,1.222720862399372e-8
exp x/6/Dn,1.0649796390034674e-4,1.0602994901307956e-4,1.0712299480459254e-4,1.7678371274096592e-6,1.25590625099433e-6,2.8251061024942892e-6
exp x/6/STower,8.692173253816749e-6,8.665901332902838e-6,8.726645486412795e-6,1.0482086798206406e-7,8.477163985264385e-8,1.413411484883726e-7
exp x/7/AD,9.331802862923303e-7,9.291054350226024e-7,9.388887442962533e-7,1.5848508671313518e-8,1.1309400781310267e-8,2.4092478458446523e-8
exp x/7/Dn,1.278297684622301e-4,1.2719873443010495e-4,1.2889156414253502e-4,2.774433231482893e-6,1.6771694384403113e-6,4.245702737038154e-6
exp x/7/STower,1.01664816321591e-5,1.0117112395480853e-5,1.0217252332630524e-5,1.7293399241313675e-7,1.414942587848452e-7,2.0520172377984064e-7
exp x/8/AD,1.048647813568187e-6,1.0453111296229737e-6,1.0523013863314332e-6,1.2209714609783854e-8,1.0507814005474912e-8,1.559880126584685e-8
exp x/8/Dn,1.5307323257736916e-4,1.5217807825086634e-4,1.545647405493606e-4,3.8715570972828176e-6,1.982869382808191e-6,5.853241629624238e-6
