Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DOrder 2/sparse/identity/liftSmoothSeries,1.3543512057914287e-5,1.3400849418312355e-5,1.381029509060461e-5,6.600961333734056e-7,3.1727140757173305e-7,1.0631863282212706e-6
DOrder 2/sparse/identity/liftSmoothSerisAD,1.0320950221577348e-5,1.0267179842816246e-5,1.048635954971359e-5,2.8755691976730286e-7,1.205911657075973e-7,5.643734673624474e-7
DOrder 2/sparse/identity/liftSmoothSuccinctTower,3.854768645563786e-6,3.835160282852586e-6,3.912772760037379e-6,1.0779331666937604e-7,4.355326575244944e-8,2.099039985870429e-7
DOrder 2/sparse/exp x/liftSmoothSeries,1.4747083705604998e-5,1.4687155632388694e-5,1.4807785567665611e-5,2.0994958171475484e-7,1.6680318609420176e-7,2.913484986700118e-7
DOrder 2/sparse/exp x/liftSmoothSerisAD,1.0597985880451392e-5,1.0537419171038863e-5,1.0686196999016826e-5,2.508976535450071e-7,1.804199202349144e-7,3.5581975247736794e-7
DOrder 2/sparse/exp x/liftSmoothSuccinctTower,4.043485116075628e-6,4.021441540557224e-6,4.091332669196975e-6,1.052979696637676e-7,5.411545639760772e-8,1.8632579555184596e-7
DOrder 2/sparse/sin x * exp (x^2 + x)/liftSmoothSeries,2.2653186341579053e-5,2.2485157362389242e-5,2.29338604121121e-5,7.282026403722751e-7,4.634373263900348e-7,1.1807278490975514e-6
DOrder 2/sparse/sin x * exp (x^2 + x)/liftSmoothSerisAD,1.2961531957978515e-5,1.2917011235698788e-5,1.3010200653558116e-5,1.5794715570751025e-7,1.1385587577218699e-7,2.29906318062764e-7
DOrder 2/sparse/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,4.482346758680681e-6,4.467960592423791e-6,4.494933310438887e-6,4.845735822361867e-8,3.9520763881214824e-8,5.9499997435650154e-8
DOrder 2/sparse/sin x * exp (y^2 + z)/liftSmoothSeries,9.282589366323675e-5,9.256767844779969e-5,9.312163344304294e-5,9.318294416255634e-7,7.476620547831608e-7,1.2303841375517984e-6
DOrder 2/sparse/sin x * exp (y^2 + z)/liftSmoothSerisAD,2.3125126704245226e-5,2.3024000116654328e-5,2.333294596998597e-5,4.422053467666022e-7,2.822353711836871e-7,6.52333816999337e-7
DOrder 2/sparse/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,1.3576227084684099e-5,1.3446139516441854e-5,1.4088265861486468e-5,8.048358653401468e-7,1.0016605428481071e-7,1.6974689479980472e-6
DOrder 2/x + d/identity/liftSmoothSeries,1.550996340462577e-5,1.5445312368943624e-5,1.5616851167615347e-5,2.679751645889519e-7,1.3383654247093768e-7,4.967350308318497e-7
DOrder 2/x + d/identity/liftSmoothSerisAD,1.9792471505501156e-5,1.973003258360134e-5,1.9854835489575934e-5,2.136009019940361e-7,1.5937610147192e-7,2.8693467711520375e-7
DOrder 2/x + d/identity/liftSmoothSuccinctTower,7.806599993579842e-6,7.777713864914313e-6,7.833895529722616e-6,9.557684494975627e-8,7.791271373829219e-8,1.3368760479318398e-7
DOrder 2/x + d/exp x/liftSmoothSeries,1.710143975466588e-5,1.7069149779620803e-5,1.7131568758698496e-5,9.978815849903846e-8,7.720360617377754e-8,1.2994593056527215e-7
DOrder 2/x + d/exp x/liftSmoothSerisAD,2.078214608416402e-5,2.070718936993026e-5,2.094598774403928e-5,3.5578440229697e-7,1.057008994317179e-7,6.167902944904016e-7
DOrder 2/x + d/exp x/liftSmoothSuccinctTower,8.523735505825588e-6,8.500266949824206e-6,8.551189491371407e-6,8.241883214065256e-8,6.554028600662636e-8,1.141988001342177e-7
DOrder 2/x + d/sin x * exp (x^2 + x)/liftSmoothSeries,2.4887316363558672e-5,2.487153834051021e-5,2.49020870124066e-5,5.3051848272219576e-8,4.457726698773264e-8,6.616452007334472e-8
DOrder 2/x + d/sin x * exp (x^2 + x)/liftSmoothSerisAD,2.595631184203142e-5,2.5819537517694256e-5,2.615421018452245e-5,5.702924111690914e-7,3.6944926561435744e-7,8.323566499320497e-7
DOrder 2/x + d/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,1.0915820427789072e-5,1.084447106716716e-5,1.106838274607034e-5,3.2468860097789105e-7,1.943507027913503e-7,4.804349320700826e-7
DOrder 2/x + d/sin x * exp (y^2 + z)/liftSmoothSeries,9.894366548787775e-5,9.863420133644835e-5,9.962976613499897e-5,1.5320703056862882e-6,6.802610084489226e-7,2.7104406412295458e-6
DOrder 2/x + d/sin x * exp (y^2 + z)/liftSmoothSerisAD,4.276723422753061e-5,4.2672141019881354e-5,4.287161871256407e-5,3.4213177063402186e-7,2.524831162716848e-7,5.272569741634196e-7
DOrder 2/x + d/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,2.5970524154728464e-5,2.585669981906648e-5,2.6152797979278568e-5,4.648239967861091e-7,2.644506237331586e-7,7.162706356399868e-7
DOrder 2/dense/identity/liftSmoothSeries,1.551028010311079e-5,1.547789361353757e-5,1.55349874010111e-5,1.0023384867170323e-7,8.167315613870279e-8,1.1937327722117038e-7
DOrder 2/dense/identity/liftSmoothSerisAD,1.987018300119773e-5,1.9833583373317977e-5,1.9915161099962677e-5,1.362736003701793e-7,1.0154536882113669e-7,1.9232448303078367e-7
DOrder 2/dense/identity/liftSmoothSuccinctTower,7.860490954659926e-6,7.835318548771219e-6,7.941518948698906e-6,1.4342250469119866e-7,4.971178500557099e-8,2.864711517229813e-7
DOrder 2/dense/exp x/liftSmoothSeries,1.7188966201993463e-5,1.7117799908738984e-5,1.7319680624809684e-5,3.3258819371785073e-7,1.7242939551788658e-7,4.969128511672912e-7
DOrder 2/dense/exp x/liftSmoothSerisAD,2.1014323482841275e-5,2.075790348020478e-5,2.1969739137150224e-5,1.597238422119194e-6,1.663478438535026e-7,3.3803720417425328e-6
DOrder 2/dense/exp x/liftSmoothSuccinctTower,8.565973623557245e-6,8.535065570671333e-6,8.613191192668702e-6,1.2189081535722908e-7,8.783732147263346e-8,1.8363145645485492e-7
DOrder 2/dense/sin x * exp (x^2 + x)/liftSmoothSeries,2.505141295923406e-5,2.4948896097515952e-5,2.5248222593296513e-5,4.6008786731506225e-7,2.63795210289551e-7,7.495728873081863e-7
DOrder 2/dense/sin x * exp (x^2 + x)/liftSmoothSerisAD,2.5744687337687715e-5,2.5667629645372896e-5,2.6043007672564462e-5,4.39247253493923e-7,8.79514934871178e-8,9.040663619979154e-7
DOrder 2/dense/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,1.0792777041685315e-5,1.0749320662727662e-5,1.095203515507194e-5,2.421524572918317e-7,1.032852993179126e-7,5.100429830917359e-7
DOrder 2/dense/sin x * exp (y^2 + z)/liftSmoothSeries,9.826733731422905e-5,9.792537286816136e-5,9.878526660515817e-5,1.4033270939707373e-6,8.456801947860503e-7,2.693238983383315e-6
DOrder 2/dense/sin x * exp (y^2 + z)/liftSmoothSerisAD,4.255059752279447e-5,4.238081298426121e-5,4.280764462671303e-5,7.078967242855071e-7,5.186494599157173e-7,9.914846591639315e-7
DOrder 2/dense/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,2.589783151529825e-5,2.5732826635898723e-5,2.634308580999466e-5,7.975342474268522e-7,3.7448673640709937e-7,1.4929807793925716e-6
DOrder 3/sparse/identity/liftSmoothSeries,2.8546061428701766e-5,2.8450014637234066e-5,2.8661322875373633e-5,3.428925806689389e-7,2.66086501709706e-7,4.7149864853939585e-7
