Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
identity/0/AD,1.0031172452991214e-6,9.600412903279125e-7,1.0670709307635328e-6,1.6802913459222544e-7,1.425590047188548e-7,1.9763209326849375e-7
identity/0/AD-diffs,2.0323110515324245e-8,1.952947875534437e-8,2.1112277132716282e-8,2.7684263795102778e-9,2.4617277940968132e-9,3.1854506448013893e-9
identity/0/STower,1.1665341136235039e-6,1.1240659150493103e-6,1.2154654457698208e-6,1.53185895032699e-7,1.2883229543663475e-7,1.8711374975767402e-7
identity/1/AD,2.560954545566375e-6,2.4556004855926497e-6,2.6782672320462992e-6,3.382206081093083e-7,2.953113423287601e-7,3.9682670038129377e-7
identity/1/AD-diffs,2.3757255245615875e-8,2.2938593766401198e-8,2.49116676385798e-8,3.114735788899076e-9,2.410899343157885e-9,4.299651437734898e-9
identity/1/STower,2.5309966679054476e-6,2.4296316757484966e-6,2.6754885778403922e-6,4.020750410180834e-7,3.303675196456609e-7,5.354503894398829e-7
identity/2/AD,4.131733852018831e-6,3.942125055194475e-6,4.325231736554336e-6,6.312079407194375e-7,5.192972630171199e-7,7.797938595602024e-7
identity/2/AD-diffs,2.3030206484148744e-8,2.2362506133685153e-8,2.3822397965747762e-8,2.4340498123352207e-9,1.9757882679669284e-9,3.035741756625304e-9
identity/2/STower,2.51311278542218e-6,2.411879118523697e-6,2.6162021247828983e-6,3.5064958055461525e-7,2.8201471515223837e-7,4.713483041683748e-7
identity/3/AD,5.5164690906061265e-6,5.30346673852615e-6,5.757972481041264e-6,8.215054878204033e-7,6.747248192643721e-7,9.697209599526712e-7
identity/3/AD-diffs,2.33805285393244e-8,2.2460672034684864e-8,2.474869632347688e-8,3.5982450246736067e-9,2.8456629187164627e-9,5.115564866010851e-9
identity/3/STower,2.482483422316076e-6,2.3891079336234455e-6,2.5944618562130093e-6,3.252848919600504e-7,2.794842565649033e-7,3.793833610071701e-7
identity/4/AD,6.992297794344276e-6,6.683564236231635e-6,7.378313931599899e-6,1.2013684924329741e-6,9.807061594855464e-7,1.5530602910862771e-6
identity/4/AD-diffs,2.22729576520111e-8,2.172410564065572e-8,2.2850445029676543e-8,1.9011767622481784e-9,1.571407192230601e-9,2.4437799136832134e-9
identity/4/STower,2.3258177012074684e-6,2.2548409422231255e-6,2.4223367657841674e-6,2.824417362612527e-7,2.068603342863714e-7,4.6773561364777925e-7
identity/5/AD,7.602734206722568e-6,7.387115181739004e-6,7.94214592195823e-6,8.911662502936639e-7,7.145799538514667e-7,1.1362027423627626e-6
identity/5/AD-diffs,2.1471201553976427e-8,2.1065428735429274e-8,2.1886774361479046e-8,1.4337907985779462e-9,1.2046007617371389e-9,1.7260937884392772e-9
identity/5/STower,2.164328246148155e-6,2.1310100933647765e-6,2.2134686168297418e-6,1.2711407547802753e-7,9.800786066039184e-8,1.8752708891569027e-7
identity/6/AD,7.369884460527173e-6,7.249349009700573e-6,7.619252838781198e-6,5.959871400051642e-7,3.145054356374965e-7,1.0815937195668007e-6
identity/6/AD-diffs,1.8311609715175365e-8,1.8132207665196745e-8,1.856837735569986e-8,7.616671005102637e-10,5.728747605271067e-10,1.2662226770018815e-9
identity/6/STower,1.932772086654272e-6,1.8897205384301295e-6,2.0354899114708184e-6,2.113685086344878e-7,1.0973315859898056e-7,3.8133880624137994e-7
