size,AD,STower,AD-diffs
0,7.962540549239617e-7,9.835085889411114e-7,2.9833341169090785e-8
1,1.906054022019836e-6,2.1402013276414328e-6,1.4303035160782876e-7
2,3.8748077151373784e-6,3.368464301764331e-6,2.9025576998817946e-7
3,6.074529893830493e-6,4.590607724877242e-6,4.1466690934591344e-7
4,9.074786049218465e-6,6.1561527258702535e-6,5.683017532289912e-7
5,1.2521232440194883e-5,7.917645189907975e-6,6.749053624180912e-7
6,1.5872429417306296e-5,9.235254052538737e-6,7.936068740926054e-7
7,1.8287012690195475e-5,1.1542430104484257e-5,8.958750439792681e-7
8,2.606790794235724e-5,1.279159243742246e-5,1.0296970268723767e-6
9,2.947548659184929e-5,1.428911638717054e-5,1.1573910333040957e-6
10,3.346371400108379e-5,1.685879237383384e-5,1.2611187972518642e-6
